seq_len,pattern,time_triton_ms,time_pytorch_ms,speedup,mem_triton_mb,mem_pytorch_mb,max_error,sparsity
1024,local,0.08782160002738237,1.7955402028746903,20.44531416319959,5.0009765625,94.1259765625,0.0009765625,0.2890625
1024,bigbird,0.09387879399582744,2.66704160021618,28.409414807083273,15.1259765625,95.1259765625,0.0009765625,0.48046875
1024,longformer,0.09962320327758789,2.987932995893061,29.992340113452794,15.1259765625,95.1259765625,0.000732421875,0.484375
1024,grouped,0.09097619913518429,2.6867576059885323,29.532533030932605,15.1259765625,95.1259765625,0.00048828125,0.5
2048,local,0.09719179943203926,4.419397807214409,45.470891917220285,20.12646484375,343.12646484375,0.0009765625,0.150390625
2048,bigbird,0.11449960293248296,6.1936229933053255,54.092964819777784,22.126953125,344.126953125,0.0009765625,0.2568359375
2048,longformer,0.1693023950792849,6.302198790945113,37.22451054513299,22.126953125,344.126953125,0.000732421875,0.26171875
2048,grouped,0.11252439580857754,6.090076989494264,54.12228117940295,22.12646484375,344.12646484375,0.000732421875,0.25
4096,local,0.11590180220082402,11.547072196844965,99.62806425423184,32.126953125,1326.126953125,0.00146484375,0.07666015625
4096,bigbird,0.1504930085502565,15.444065001793206,102.62313944395449,36.1279296875,1328.1279296875,0.000732421875,0.133544921875
4096,longformer,0.2814654028043151,15.565253992099315,55.30077173613,36.1279296875,1328.1279296875,0.0009765625,0.1357421875
4096,grouped,0.13256958918645978,14.857525599654764,112.07340756527186,36.12744140625,1328.12744140625,0.0009765625,0.125
8192,local,0.14543880242854357,39.75421959767118,273.3398442083781,56.12841796875,5236.12841796875,0.0009765625,0.0386962890625
8192,bigbird,0.20682699978351593,47.94286499964073,231.8017717697502,64.13037109375,5240.13037109375,0.0009765625,0.0687255859375
8192,longformer,0.4532883991487324,48.031648609321564,105.9626690193796,64.13037109375,5240.13037109375,0.0009765625,0.069091796875
8192,grouped,0.1940523972734809,46.19274220895022,238.04262589887057,64.1298828125,5240.1298828125,0.0009765625,0.0625
