seq_len,pattern,encode_ms,attention_ms,overhead_pct,sparsity,nnz_blocks
1024,dense,0.0888876966200769,0.09620980126783252,92.38944000375588,1.0,256
1024,local,0.07444319780915976,0.06129759713076055,121.44553994564731,0.2890625,74
1024,bigbird,0.2352226001676172,0.07412359700538218,317.3383506341948,0.48046875,123
1024,longformer,0.08277150336652994,0.08408839930780232,98.43391484186549,0.484375,124
1024,grouped,1.9161720003467053,0.0679560995195061,2819.7203987505018,0.5,128
2048,dense,0.16903740470297635,0.3120361012406647,54.1723871151058,1.0,1024
2048,local,0.09858259581960738,0.08467720472253859,116.42164634819076,0.150390625,154
2048,bigbird,0.4192573018372059,0.09636040194891393,435.09293585084646,0.2568359375,263
2048,longformer,0.12145520304329693,0.15137920272536576,80.23242351437312,0.26171875,268
2048,grouped,3.7555967981461436,0.09369489853270352,4008.325807445407,0.25,256
4096,dense,0.5317073024343699,0.674240302760154,78.86020759330268,1.0,4096
4096,local,0.14702359912917018,0.10097940103150904,145.59761459002294,0.07666015625,314
4096,bigbird,0.7765024027321488,0.13713579974137247,566.2288069173567,0.133544921875,547
4096,longformer,0.1882691984064877,0.2644423977471888,71.19478571150913,0.1357421875,556
4096,grouped,7.637476996751502,0.13194939820095897,5788.186305419615,0.125,512
8192,dense,2.182675601216033,2.322489902144298,93.97998239737542,1.0,16384
8192,local,0.2606991969514638,0.14511399785988033,179.65130917500505,0.0386962890625,634
8192,bigbird,1.5621819999068975,0.21250059944577515,735.1423967655805,0.0687255859375,1126
8192,longformer,0.3271689987741411,0.4653281008359045,70.30931469352966,0.069091796875,1132
8192,grouped,15.325815096730366,0.1986421993933618,7715.286652853342,0.0625,1024
16384,dense,7.645079400390387,8.660385402617976,88.27643395730784,1.0,65536
16384,local,0.40001519955694675,0.22461439948529005,178.089739782308,0.019439697265625,1274
16384,bigbird,2.8379637049511075,0.3573235997464508,794.2278950970118,0.0347747802734375,2279
16384,longformer,0.5982903996482491,0.9392193984240294,63.700813745132955,0.03485107421875,2284
16384,grouped,29.796055296901613,0.288926501525566,10312.676455629695,0.03125,2048
