seq_len,time_triton_ms,time_pytorch_ms,tokens_per_sec_triton,tokens_per_sec_pytorch,speedup
1024,0.08601269801147282,2.5371578987687826,11905218.923180547,403601.2108260668,29.497480690936627
2048,0.10591039899736643,6.445380899822339,19337100.222339127,317746.93099308544,60.8569220854565
4096,0.137221603654325,15.219608100596815,29849527.2677197,269126.50923248025,110.91262377997371
8192,0.21784730488434434,47.42410350008868,37604321.08328883,172739.16416753523,217.6942401250557
