seq_len,mem_triton_mb,mem_pytorch_mb,memory_saving_pct
1024,12.1259765625,93.1259765625,86.97895366030139
2048,17.126953125,340.126953125,94.96454104338339
4096,26.1279296875,1320.1279296875,98.0208032039982
8192,44.13037109375,5224.13037109375,99.15525900084859
16384,80.13525390625,20808.13525390625,99.61488498162656
